"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Marin-Mantilla, K.J.; Moscoso-Barrera, W.D.","Marin-Mantilla, Kelly J. (60252532500); Moscoso-Barrera, William Daniel (57188633563)","60252532500; 57188633563","Development of a STEM Teaching Strategy to Foster 21st-Century Skills in High School Students Through Gamification and Low-Cost Biomedical Technologies","2025","Education Sciences","15","12","1624","","","0","10.3390/educsci15121624","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025696776&doi=10.3390%2Feducsci15121624&partnerID=40&md5=80aa354d395eb95c0857ef8c14b596bc","STEM (Science, Technology, Engineering, and Mathematics) is essential for the development of 21st-century skills, particularly in a world driven by technological innovation. However, in vulnerable school contexts, access to meaningful STEM experiences remains limited. This study addresses this issue through the design and implementation of a didactic strategy in a public high school in Bogotá, Colombia, based on two educational resources: the BioSen electronic board, which is compatible with Arduino technology and designed to acquire physiological signals such as electrocardiography (ECG), electromyography (EMG), electrooculography (EOG), and body temperature; and the Space Exploration instructional guide, which is organized around contextualized learning missions. This study employed a quasi-experimental mixed-methods design that combined pre–post perception questionnaires, unstructured classroom observations, and a contextualized knowledge test administered to three student groups. Findings demonstrate that after eight weeks of implementation with upper secondary students, the strategy had a positive impact on the development of 21st-century skills, such as creativity, computational thinking, and critical thinking. These skills were assessed through a mixed quasi-experimental design combining perception questionnaires, qualitative observations, and knowledge evaluations. Unlike the control groups, students who participated in the intervention adjusted their self-perceptions when facing real-world challenges and showed progress in the application of key competencies. Overall, the results support the effectiveness of integrating low-cost biomedical tools with gamified STEM instruction to enhance higher-order thinking skills and student engagement in vulnerable educational contexts. © 2025 by the authors.","21st-century skills; Arduino; biomedical engineering; educational strategy; electronic board; gamification; high school; STEM; teaching strategy","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105025696776"
"Jayachandran, S.; Joshi, B.","Jayachandran, Suja (57215420895); Joshi, Bharti (57189075285)","57215420895; 57189075285","Unfolding Features of Game-based Learning Pedagogy","2025","SN Computer Science","6","8","985","","","0","10.1007/s42979-025-04559-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023425844&doi=10.1007%2Fs42979-025-04559-0&partnerID=40&md5=18f4a4ddec64039a9204865a7e8e6df1","In teaching–learning environments, student engagement is a critical factor in assessing learning outcomes. Various pedagogical approaches such as blended learning, gamification, computational thinking, experiential learning, and discussion-based learning have been explored in this context. This paper examines the effectiveness of a game-based learning approach. By immersing learners in real-world scenarios on a fictional island, the educational game teaches SQL through problem-solving rather than isolated query writing, thereby preparing students for authentic database management tasks.Compared to problem-based learning, the game-based pedagogy demonstrated superior results in both learning outcomes and engagement. The study involved 150 undergraduate students enrolled in a Database Management Systems course. As part of the assignment, students engaged with SQL Island, an educational game designed to teach SQL concepts. To evaluate its effectiveness, a questionnaire based on the MEEGA + model (Model for the Evaluation of Educational Games) was administered, assessing usability, operability, aesthetics, and relevance to the course.Findings revealed positive outcomes in terms of player experience and learning. Student engagement in this activity surpassed that of other initiatives such as mini-projects or problem-based learning. Performance also improved significantly, with a 15% increase overall. In the pre-test, only 70% of students could successfully write all queries, whereas in the post-test, 85% achieved complete success. These results highlight the remarkable improvement in both engagement and performance when learning database concepts through game-based methods. © The Author(s), under exclusive licence to Springer Nature Singapore Pte Ltd. 2025.","Educational games; Game-based learning; Pedagogy; Player experience; SQL concept","","Article","Final","","Scopus","2-s2.0-105023425844"
"Gardeli, A.; Vosinakis, S.","Gardeli, Anna (56103624000); Vosinakis, Spyros (6506291372)","56103624000; 6506291372","Fostering computational thinking in young students through student generated challenges in tangible mobile augmented reality games","2025","Discover Education","4","1","529","","","0","10.1007/s44217-025-00899-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023391148&doi=10.1007%2Fs44217-025-00899-4&partnerID=40&md5=d52886fd21679d03a019f6322f30223c","This paper explores the integration of student-generated challenges (SGC) within tangible mobile augmented reality (TMAR) games as a strategy to enhance computational thinking (CT) skills in young learners. CT, which includes problem-solving, abstraction, and algorithmic reasoning, is a vital competency for success in the digital age. TMAR technology uniquely combines physical and digital interactions, providing immersive, hands-on experiences that engage students in real-world problem-solving and make CT skill development more intuitive and compelling. By incorporating SGC, a learner-centered approach where students create their own content – in our case, design challenges – for themselves or peers, the proposed method promotes creativity, critical thinking, and learner agency in game-based learning. The effectiveness of this approach was compared to a gameplay-only method in a single-session experiment involving 33 elementary students, aged 8 to 10 years, randomly assigned to experimental (SGC with gameplay) and control (gameplay-only) groups. Although no statistically significant differences were found, the experimental group outperformed the control group with a moderate effect size (Cohen’s d = 0.48, partial η² = 0.058), suggesting a potentially meaningful impact of SGC on CT development. Findings from this exploration revealed positive attitudes toward learning and increased engagement with the SGC strategy. The study also identified challenges and provided valuable insights for more effective integration of student-generated challenges within TMAR games. The paper concludes with design considerations aimed at enhancing CT development, enriching learning experiences, and guiding future research in this area. © The Author(s) 2025.","Computational thinking; Educational technology; Elementary education; Game-Based learning; Student-Generated challenges; Tangible mobile augmented reality","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105023391148"
"Aksakal, H.; Kucuk, S.","Aksakal, Hanifi (59941932200); Kucuk, Sevda (15732851300)","59941932200; 15732851300","Secondary school students’ computational thinking skills, group cohesion, and performance in problem-based programming education","2025","Journal of Systems and Software","230","","112535","","","1","10.1016/j.jss.2025.112535","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007911956&doi=10.1016%2Fj.jss.2025.112535&partnerID=40&md5=34dc5f26983b1f1e852511d8e3079ba3","Starting from early educational stages, developing foundational skills such as computational thinking (CT), problem-solving, and collaboration is crucial for preparing future software engineers. Programming education supported by structured pedagogical approaches can lay the groundwork for success in software engineering pathways. In this study, the effect of the use of the problem-based learning (PBL) approach in programming education on students' CT skills, performance, and attitudes toward collaboration was investigated. In addition, detailed comparisons were made according to instructor-selected (IS) and self-selected (SS) collaborative groups. The embedded mixed methods research design was used in the study. The sample of the study consisted of a total of 52 seventh-grade secondary school students (25 boys and 27 girls) taking Scratch programming lessons. The results revealed that the use of the PBL approach in programming education improves children's CT skills. The children's attitudes toward collaboration in programming were high. Although group cohesion was higher in the SS group, it increased on a weekly basis in the IS group. Moreover, it has been determined that the projects produced in the IS group were more qualified. The study underlines the importance of investing in software engineering education to equip the next generation of software engineers with the necessary skills to thrive in the rapidly evolving digital landscape. Implications are discussed in terms of theoretical insights, practices, and directions for further research. © 2025 Elsevier Inc.","Collaborative learning; Computational thinking; Engineering education; Programming education; Secondary education","Computer software; Curricula; Professional aspects; Software design; Software quality; Students; Teaching; Collaborative learning; Computational thinkings; Group cohesions; Group performance; Problem-based learning approaches; Programming education; School students; Secondary education; Secondary schools; Thinking skills; Engineering education","Article","Final","","Scopus","2-s2.0-105007911956"
"Anna, G.; Vosinakis, S.","Anna, Gardeli (59939046300); Vosinakis, Spyros (6506291372)","59939046300; 6506291372","Group dynamics in collaborative learning: Impact of emergent and scripted roles in tangible mobile augmented reality games","2025","Computers and Education: X Reality","7","","100102","","","1","10.1016/j.cexr.2025.100102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007803081&doi=10.1016%2Fj.cexr.2025.100102&partnerID=40&md5=e94a08abed572dfe4a336f8e83738f8a","This paper presents a study investigating the use of Tangible Mobile Augmented Reality (TMAR) for synchronous collaborative learning, with a focus on the influence of roles on group dynamics across various group compositions. This research addresses a gap in current understanding of how role structures affect problem-solving and collaborative behaviors in TMAR-based learning environments. A quasi-experimental research approach within-subjects design was used. The study involved 23 elementary school students who participated in an educational game designed to develop computational thinking skills. These students worked in small groups, using mobile devices and physical artifacts as markers to solve problems. Two modes of collaboration were examined: (1) emergent-role collaboration, where participants self-organized, and (2) scripted-role collaboration, where scripted roles were assigned. Qualitative content analysis was conducted to interpret qualitative data from structured observations and student feedback. Findings suggest that the effectiveness of TMAR-based collaboration depends on the group's underlying goal orientation. In goal-aligned groups, roles emerged naturally and supported productive interaction, while in less cohesive groups, scripted roles provided the necessary structure. Furthermore, the tangible features of TMAR show evidence of further support for role distribution and collaborative problem-solving when used appropriately. These insights contribute to the broader field of collaborative learning, computational thinking, and the application of TMAR in formal education settings. © 2025 The Authors","Classroom integration; Collaborative learning; Group dynamics; K-12; STEM; Tangible mobile augmented reality","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105007803081"
"Lin, Y.; Yang, Y.; Zhang, Y.","Lin, Yuru (57281795200); Yang, Yuqin (57164390600); Zhang, Yi (58957195500)","57281795200; 57164390600; 58957195500","Scaffolding third graders’ computational thinking in an artificial intelligence course: Concepts, practice, and perspectives","2025","Educational Technology and Society","28","4","","338","367","0","10.30191/ETS.202510_28(4).SP09","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019696979&doi=10.30191%2FETS.202510_28%284%29.SP09&partnerID=40&md5=9150594235ec06fd0a474879f5d81ea3","Scaffolding type and timing are key factors in designing strategies to develop students’ computational thinking (CT). Although these factors have been studied separately, their combined effects remain underexplored. To address this gap, a 2×2 factorial experiment was conducted in this study to examine the effect of scaffolding type (conceptual versus problem-solving) and timing (immediate versus delayed) on CT concepts, practices, and perspectives. A total of 136 third graders from four classes were assigned to four experimental conditions: delayed conceptual scaffolding, immediate conceptual scaffolding, immediate problem-solving scaffolding, and delayed problem-solving scaffolding. The study was conducted over 6 weeks using the machine learning unit of an artificial intelligence (AI) course. The results, as measured by knowledge tests and final worksheets, showed that problem-solving scaffolding and immediate scaffolding were more effective in developing students’ CT concepts than conceptual scaffolding and delayed scaffolding. Lag sequential analysis indicated that students guided by problem-solving scaffolding and delayed scaffolding developed more complete problem-solving paths and achieved higher levels of CT practice. Additionally, an analysis of students’ learning reflections revealed that most students could explain the functions of machine learning techniques. However, students guided by problem-solving scaffolding and immediate scaffolding were better at understanding and reflecting on the problem-solving process. These findings provide valuable insights for researchers and practical guidance for teachers. By highlighting effective scaffolding methods and their timing, this study advances CT education and helps prepare students for a technology-driven world. © This article of Educational Technology & Society is available under Creative Commons CC-BY NC-ND 3.0 license (https://creativecommons.org/licenses/by-nc-nd/3.0/).","Artificial intelligence; Computational thinking; Elementary education; Scaffolding; Timing of scaffolding","","Article","Final","","Scopus","2-s2.0-105019696979"
"Wang, J.; Fan, W.; Yu, J.","Wang, Jin (59774898200); Fan, Wenxiang (59773976100); Yu, Junyan (59931674100)","59774898200; 59773976100; 59931674100","Comparing the effects of unplugged activities and plugged activities on the development of students'computational thinking: a meta-analysis","2025","Educational Technology Research and Development","73","5","","3247","3267","0","10.1007/s11423-025-10522-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007432195&doi=10.1007%2Fs11423-025-10522-w&partnerID=40&md5=ef879030352e140ff11900a523390478","Unplugged activities (UA) and plugged activities (PA) are two primary teaching approaches used to develop students' computational thinking (CT). However, reaching an academic consensus regarding which approach is more effective remains elusive. This study presents a meta-analysis of 37 studies published between January 2006 and March 2025. These studies are used to compare the effectiveness of UA and PA for developing students' CT. The results indicate that, overall, PA (g = 0.606) is more effective than UA (g = 0.501) in developing students' CT. This study also compares the effects of UA and PA across the four moderator variables of educational level, intervention duration, type of course, and learning model. The results show that UA is better than PA in terms of developing students’ CT in game-based learning. However, PA is better than UA in secondary school and college, in interventions lasting less than four weeks, humanities and arts courses, and problem-based and project-based learning. The effect of UA and PA on students' CT development may be quite similar in the primary education stage, when the intervention duration exceeds four weeks, in information and technology courses, and in natural science courses. © Association for Educational Communications and Technology 2025.","Computational thinking; Meta-analysis; Plugged-in activities; Unplugged activities","","Article","Final","","Scopus","2-s2.0-105007432195"
"Huang, M.; Wang, L.","Huang, Miao (57897260600); Wang, Lei (58600180200)","57897260600; 58600180200","Start learning coding without computers? A case study on children’s unplugged gamified coding education tool with explanatory sequential mixed method","2025","PLOS ONE","20","9 September","e0330896","","","0","10.1371/journal.pone.0330896","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015082622&doi=10.1371%2Fjournal.pone.0330896&partnerID=40&md5=2f6d29fd54d6609f1402e04eb2e23124","Instruction in coding for children has emerged as a significant means of fostering computational thinking, with gamification serving a crucial reinforcing function in this educational process. This experimental study integrates four principal gamification elements—role-playing, rewards, challenges, and cooperation—into unplugged children’s coding education tools to examine their impacts on children’s flow experience and learning engagement. Under the theoretical framework of Stimulus-Organism-Response (S-O-R), researchers developed an unplugged coding education prototype named “Coding Adventure,” employing an explanatory sequential mixed-methods approach with 295 Chinese elementary students (aged 8–10 years). Subsequent qualitative interviews were conducted with 12 stratified participants. Empirical findings demonstrate that role-playing and cooperation effectively enhance children’s flow experience when engaging in coding education tools. Children role-play heroes and engage in “real fights,” engage in teamwork and communicate with others, which can bring them into a flow experience. The flow experience effectively enhances children’s learning engagement. The main reasons are the immersion, upgrade experience, practicality, goal-orientedness, teamwork and partner’s suggestions brought by gamification elements. Moreover, rewards and cooperation also directly positively influence children’s learning engagement. Intrinsic and extrinsic rewards, engagement in teamwork and receiving encouragement and suggestions from interactions with classmates are thought to increase children’s motivation to learn. This study examined the effects of diverse gamification elements on children’s flow experience and learning engagement in an unplugged gamified coding education tool under the framework of the S-O-R theory. Additionally, this study demonstrated important practical implications by providing developers of coding education tools with a clear path to enhancing participants’ sense of immersion and achievement. © 2025 Huang, Wang. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","","Article; child; female; gamification; human; human experiment; major clinical study; male; questionnaire; sequence learning; thematic analysis; computer; learning; Child; Computers; Female; Humans; Learning; Male","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105015082622"
"Yildiz, E.P.; Alkan, A.; Tezer, M.","Yildiz, Ezgi Pelin (57195108192); Alkan, Ayse (55127816700); Tezer, Murat (26658664400)","57195108192; 55127816700; 26658664400","Enhancing Early Childhood Students’ Computational Thinking Competency Through Digital Game-Based Learning","2025","International Journal of Cognitive Research in Science, Engineering and Education","13","2","","123","145","0","10.23947/2334-8496-2025-13-2-365-378","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014950140&doi=10.23947%2F2334-8496-2025-13-2-365-378&partnerID=40&md5=48e4154f7c8c602995e83a74f2416702","This study investigated how the computational thinking competencies of students classified in the early childhood category can be developed through digital game-based learning. Computational thinking is a way of thinking that includes problem solving, algorithmic thinking and logical inference skills is considered an important competence that should be acquired at an early age. Digital game-based learning stands out as a powerful tool for developing computational thinking skills while providing a fun and motivating environment by ensuring the active participation of students. Within the scope of the research, the effects of digital game-based learning activities on students’ computational thinking skills were examined by experimental method, one of the quantitative research methods. In this study, a 4-week training activity was conducted for the experimental and control groups determined during the research process to develop computational thinking skills in 5-year-old pre-school children. The study group consists of 50 students in the 5-year-old age group studying in the pre-school class of a state institution. In the study, student groups were divided into experimental and control groups. The experimental and control groups consisted of 25 students. The achievement test prepared for the cognitive domain was used as a pre-test and post-test as the data collection tool. In addition to this data collection tool, an evaluation rubric was also used in the study. The findings showed that digital game-based learning methods positively affect the development of computational thinking skills in early childhood. In light of these findings, recommendations were made in the study for the integration of digital games into relevant educational programs and the promotion of computational thinking at an early age. © 2025 by the authors.","computational thinking; digital game-based learning; early childhood; experimental method","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105014950140"
"Grizioti, M.","Grizioti, Marianthi (57193686423)","57193686423","Computational thinking beyond coding: exploring student computational practices while playing and modifying a socio-scientific simulation game with integrated computational tools","2025","Educational Technology Research and Development","73","4","","2251","2278","1","10.1007/s11423-025-10477-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000290895&doi=10.1007%2Fs11423-025-10477-y&partnerID=40&md5=81bbe82d1df1a69f2ce1e29f5cac5a01","Recently scientists have underscored a significant mismatch between the latest theoretical Computational Thinking conceptualizations as an upcoming literacy that goes beyond computer science, and its operationalizations in current empirical research and designs, which are limited to coding-centred and domain-specific tools and approaches. To achieve an integrated computational literacy CT research must study new approaches that from the one side utilize multiple computational tools beyond traditional programming, such as databases and modelling tools, and from the other side employ CT for dealing with both the scientific and the societal aspects of real-world problems. To this end, this article explores the development of 16 middle school students’ computational thinking practices as they collaboratively play and modify the socio-scientific simulation game “CT-Chef” with three interconnected affordances, i.e., map design, data editing and block-based programming, in “ChoiCo” environment. The in-depth thematic analysis of students’ interactions throughout the activities, revealed new, system and data related, dimensions of known CT practices that have not yet been explored or detected in traditional programming-centred approaches. Moreover, the results showed that the progressive transition of student roles from players to designers enabled the development of abstract reasoning about the simulation game system. Finally, as designers of the socio-scientific game content, students questioned, discussed and modified the subjective societal values and possible biases behind the simulation. Based on the findings, the article discusses a framework of three axes, i.e., computational tools, engagement process and content, for utilizing CT in socio-scientific contexts. © The Author(s) 2025.","Computational thinking; Constructionism; Game-based learning; Multiple representations; Socio-scientific issues; Systems thinking","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-86000290895"
